Material;Dt,Saída;Nº Pedido;Requisitante / Destino;Unidade;Quantidade;Status
Álcool;2020-03-19;308748;Acre;Litro;9,6;Entregue
Álcool;2020-03-19;308748;Acre;Litro;42,0;Entregue
Álcool;2020-03-19;308499;Acre;Litro;12,0;Entregue
Álcool;2020-03-19;308500;Acre;Litro;12,0;Entregue
Álcool;2020-03-25;309483;Acre;Litro;48,0;Entregue
Álcool;2020-03-28;309979;Acre;Litro;19,2;Entregue
Álcool;2020-03-28;309979;Acre;Litro;18,0;Entregue
Álcool;2020-03-31;310553;Acre;Litro;132,0;Entregue
Álcool;2020-04-10;311433;Acre;Litro;12,6;Entregue
Álcool;2020-04-15;311873;Acre;Litro;5,0;Entregue
Álcool;2020-04-15;311873;Acre;Litro;4,0;Entregue
Álcool;2020-04-15;311873;Acre;Litro;153,5;Entregue
Álcool;2020-04-23;312962;Acre;Litro;798,0;Entregue
Álcool;2020-04-30;313999;Acre;Litro;1068,0;Entregue
Álcool;2020-05-14;315513;Acre;Litro;96,0;Entregue
Álcool;2020-03-19;308752;Alagoas;Litro;28,8;Entregue
Álcool;2020-03-19;308752;Alagoas;Litro;156,0;Entregue
Álcool;2020-03-19;308531;Alagoas;Litro;12,0;Entregue
Álcool;2020-03-25;309488;Alagoas;Litro;28,8;Entregue
Álcool;2020-03-25;309488;Alagoas;Litro;156,0;Entregue
Álcool;2020-03-28;309983;Alagoas;Litro;86,4;Entregue
Álcool;2020-03-28;309983;Alagoas;Litro;60,0;Entregue
Álcool;2020-03-31;310595;Alagoas;Litro;270,0;Entregue
Álcool;2020-04-10;311343;Alagoas;Litro;42,0;Entregue
Álcool;2020-04-15;311874;Alagoas;Litro;15,0;Entregue
Álcool;2020-04-15;311874;Alagoas;Litro;12,0;Entregue
Álcool;2020-04-15;311874;Alagoas;Litro;481,0;Entregue
Álcool;2020-04-23;312973;Alagoas;Litro;2508,0;Entregue
Álcool;2020-04-30;314000;Alagoas;Litro;3354,0;Entregue
Álcool;2020-05-14;315516;Alagoas;Litro;258,0;Entregue
